params,MostNaive
"('FashionMNIST_6', 0.5, 1)",
"('FashionMNIST_6', 0.75, 1)",
"('FashionMNIST_6', 1.0, 1)",
"('19_landsat', 0.0, 1)",0.37741018941868065
"('19_landsat', 0.01, 1)",
"('19_landsat', 0.05, 1)",
"('19_landsat', 0.1, 1)",
"('19_landsat', 0.25, 1)",
"('19_landsat', 0.5, 1)",
"('19_landsat', 0.75, 1)",
"('19_landsat', 1.0, 1)",
"('30_satellite', 0.0, 1)",0.5825621187323315
"('30_satellite', 0.01, 1)",
"('30_satellite', 0.05, 1)",
"('30_satellite', 0.1, 1)",
"('30_satellite', 0.25, 1)",
"('30_satellite', 0.5, 1)",
"('30_satellite', 0.75, 1)",
"('30_satellite', 1.0, 1)",
"('28_pendigits', 0.0, 1)",0.9341629867523082
"('28_pendigits', 0.01, 1)",
"('28_pendigits', 0.05, 1)",
"('28_pendigits', 0.1, 1)",
"('28_pendigits', 0.25, 1)",
"('28_pendigits', 0.5, 1)",
"('28_pendigits', 0.75, 1)",
"('28_pendigits', 1.0, 1)",
"('2_annthyroid', 0.0, 1)",0.5738249999999999
"('2_annthyroid', 0.01, 1)",
"('2_annthyroid', 0.05, 1)",
"('2_annthyroid', 0.1, 1)",
"('2_annthyroid', 0.25, 1)",
"('2_annthyroid', 0.5, 1)",
"('2_annthyroid', 0.75, 1)",
"('2_annthyroid', 1.0, 1)",
"('SVHN_5', 0.0, 1)",0.6322367105760047
"('SVHN_5', 0.01, 1)",
"('SVHN_5', 0.05, 1)",
"('SVHN_5', 0.1, 1)",
"('SVHN_5', 0.25, 1)",
"('SVHN_5', 0.5, 1)",
"('SVHN_5', 0.75, 1)",
"('SVHN_5', 1.0, 1)",
"('24_mnist', 0.0, 1)",0.8555471246924651
"('24_mnist', 0.01, 1)",
"('24_mnist', 0.05, 1)",
"('24_mnist', 0.1, 1)",
"('24_mnist', 0.25, 1)",
"('24_mnist', 0.5, 1)",
"('24_mnist', 0.75, 1)",
"('24_mnist', 1.0, 1)",
"('SVHN_4', 0.0, 1)",0.5825598751354342
"('SVHN_4', 0.01, 1)",
"('SVHN_4', 0.05, 1)",
"('SVHN_4', 0.1, 1)",
"('SVHN_4', 0.25, 1)",
"('SVHN_4', 0.5, 1)",
"('SVHN_4', 0.75, 1)",
"('SVHN_4', 1.0, 1)",
"('SVHN_3', 0.0, 1)",0.5783113842551946
"('SVHN_3', 0.01, 1)",
"('SVHN_3', 0.05, 1)",
"('SVHN_3', 0.1, 1)",
"('SVHN_3', 0.25, 1)",
"('SVHN_3', 0.5, 1)",
"('SVHN_3', 0.75, 1)",
